Supplier,SKU_ID,SKU_Category,Defect_Rate_PPM,Lead_Time_Variance_Days,Price_Volatility_Pct
Volt Precision Parts,SKU-00301,Transmission Parts,299.6,1.68,2.29
Pinnacle Fasteners Co,SKU-00187,Electrical Systems,40.3,3.98,15.12
Meridian Electronics,SKU-00347,Sensors,29.3,3.17,1.58
Meridian Electronics,SKU-00213,Exhaust Systems,38.1,2.81,1.81
BlueRidge Rubber & Seals,SKU-00229,Interior Trim,55.7,1.73,1.7
Atlas Suspension Ltd,SKU-00225,Exhaust Systems,37.1,1.93,3.08
Volt Precision Parts,SKU-00417,Sensors,344.6,4.21,4.01
Quantum Sensor Corp,SKU-00330,Interior Trim,32.6,2.57,1.26
NorthStar Exhaust Systems,SKU-00198,Electrical Systems,35.7,1.87,1.35
Volt Precision Parts,SKU-00482,Fasteners,252.1,2.36,1.23
Cobalt Hydraulics,SKU-00418,Electrical Systems,55.1,1.58,4.45
Volt Precision Parts,SKU-00486,Brake Systems,285.2,2.57,1.16
Silverline Plastics,SKU-00380,Brake Systems,65.5,3.62,2.44
Volt Precision Parts,SKU-00204,Suspension,235.9,2.71,1.3
Cobalt Hydraulics,SKU-00402,Exhaust Systems,62.5,3.31,2.28
Silverline Plastics,SKU-00172,Engine Components,15.8,1.52,2.75
EverTrust Powertrain,SKU-00141,Sensors,59.6,3.61,0.93
Cobalt Hydraulics,SKU-00235,Body & Chassis,48.6,3.52,0.87
Granite Bearing Co,SKU-00505,Brake Systems,44.9,2.77,1.96
Orion Chassis Works,SKU-00296,Interior Trim,22.8,2.17,1.94
Granite Bearing Co,SKU-00200,Sensors,43.2,1.94,1.85
IronClad Metal Works,SKU-00241,Electrical Systems,44.5,17.99,1.96
NorthStar Exhaust Systems,SKU-00152,Brake Systems,40.1,2.59,0.66
NorthStar Exhaust Systems,SKU-00343,Suspension,50.7,2.5,2.23
Silverline Plastics,SKU-00183,Body & Chassis,56.5,0.55,0.62
Horizon Interior Trim,SKU-00289,Interior Trim,48.3,2.49,2.34
Quantum Sensor Corp,SKU-00193,Suspension,39.5,3.16,2.95
Orion Chassis Works,SKU-00167,Transmission Parts,50.8,2.24,0.51
Meridian Electronics,SKU-00505,Brake Systems,54.2,3.72,2.72
IronClad Metal Works,SKU-00180,Interior Trim,34.4,19.03,2.89
Titan Forge Industries,SKU-00037,Fasteners,63.7,1.62,2.02
Atlas Suspension Ltd,SKU-00197,Transmission Parts,54.0,2.56,1.31
Meridian Electronics,SKU-00277,Body & Chassis,50.0,3.08,2.27
Quantum Sensor Corp,SKU-00050,Exhaust Systems,47.6,2.24,3.38
Quantum Sensor Corp,SKU-00159,Interior Trim,34.2,1.91,2.21
Vanguard Brake Systems,SKU-00087,Engine Components,55.5,1.0,1.15
Quantum Sensor Corp,SKU-00261,Exhaust Systems,20.5,2.53,1.31
Orion Chassis Works,SKU-00377,Exhaust Systems,40.4,3.16,1.69
Summit Casting Group,SKU-00504,Fasteners,47.8,2.2,2.74
EverTrust Powertrain,SKU-00203,Body & Chassis,50.7,1.81,2.07
Silverline Plastics,SKU-00449,Interior Trim,57.5,2.89,1.08
Titan Forge Industries,SKU-00112,Exhaust Systems,52.9,1.42,3.33
Vanguard Brake Systems,SKU-00406,Interior Trim,57.3,2.79,2.33
NorthStar Exhaust Systems,SKU-00293,Sensors,42.5,3.18,1.9
Cobalt Hydraulics,SKU-00395,Exhaust Systems,47.8,3.37,1.75
Orion Chassis Works,SKU-00393,Transmission Parts,37.6,1.31,1.35
Cobalt Hydraulics,SKU-00277,Body & Chassis,23.1,3.23,3.65
NorthStar Exhaust Systems,SKU-00134,Interior Trim,62.1,0.87,2.78
Orion Chassis Works,SKU-00274,Sensors,62.1,2.04,2.28
Summit Casting Group,SKU-00430,Exhaust Systems,20.9,2.77,1.35
Falcon Wiring Harness,SKU-00505,Brake Systems,47.4,0.94,2.63
Meridian Electronics,SKU-00483,Brake Systems,57.3,1.72,1.29
Orion Chassis Works,SKU-00095,Fasteners,19.1,2.23,1.73
Silverline Plastics,SKU-00311,Suspension,26.4,2.95,1.84
IronClad Metal Works,SKU-00055,Body & Chassis,32.1,13.5,3.06
BlueRidge Rubber & Seals,SKU-00348,Sensors,52.2,2.37,2.7
Volt Precision Parts,SKU-00517,Fasteners,246.1,2.53,2.32
Falcon Wiring Harness,SKU-00028,Fasteners,39.4,2.94,1.58
Volt Precision Parts,SKU-00342,Brake Systems,338.0,3.05,0.0
EverTrust Powertrain,SKU-00492,Fasteners,59.3,0.0,1.71
IronClad Metal Works,SKU-00441,Sensors,57.3,14.57,1.03
EverTrust Powertrain,SKU-00205,Body & Chassis,31.9,3.53,0.66
Cobalt Hydraulics,SKU-00055,Body & Chassis,58.5,2.44,1.25
BlueRidge Rubber & Seals,SKU-00481,Brake Systems,38.0,1.48,2.89
Granite Bearing Co,SKU-00480,Electrical Systems,53.8,0.78,1.88
Cobalt Hydraulics,SKU-00302,Fasteners,34.6,3.79,1.12
EverTrust Powertrain,SKU-00510,Brake Systems,64.3,2.47,1.27
Meridian Electronics,SKU-00003,Suspension,36.9,1.7,1.18
BlueRidge Rubber & Seals,SKU-00321,Transmission Parts,46.1,1.27,0.46
Volt Precision Parts,SKU-00021,Interior Trim,289.1,0.7,1.6
BlueRidge Rubber & Seals,SKU-00487,Transmission Parts,34.1,1.63,3.8
Pinnacle Fasteners Co,SKU-00354,Body & Chassis,45.7,2.75,7.82
Crestline Components,SKU-00475,Suspension,37.2,2.72,1.38
BlueRidge Rubber & Seals,SKU-00293,Sensors,55.9,1.3,1.97
Titan Forge Industries,SKU-00044,Transmission Parts,38.0,2.66,1.69
NorthStar Exhaust Systems,SKU-00014,Exhaust Systems,41.7,2.26,1.61
Granite Bearing Co,SKU-00175,Suspension,50.8,2.74,2.13
